row	T	q	m_target	k	t_exact	t_float	alpha_float	X_order	tr_X	vf_orbit_finite	vf_group_order	vf_structure	gamma_finite	gamma_order	relations	ip	defect	fvec_coset	fvec_geom	directly_regular	faithful	skeletal	geom_chiral	verdict
4	{5,3,3}	3	5	1	-1/2	-0.5	2.1747711962568421	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	4	[ 120, 720, 120, 5 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 4)
4	{5,3,3}	3	5	1	1/2*E(5)+3/2*E(5)^2+3/2*E(5)^3+1/2*E(5)^4	-2.1180339887498945	-0.77624949097524187	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	4	[ 120, 720, 120, 5 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 4)
4	{5,3,3}	3	5	1	1/2*E(5)+E(5)^2+E(5)^3+1/2*E(5)^4	-1.3090169943749475	-2.4142135623730949	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	4	[ 120, 720, 120, 5 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 4)
4	{5,3,3}	3	inf	-	infinity	infinity	0.	3	1	true	12	A4	true	7200	true	true	1	[ 600, 1200, 120, 5 ]	[ 600, 1200, 120, 5 ]	false	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), combinatorially chiral
5	{3,5,5/2}	5	2	1	1/2*E(20)-1/2*E(20)^8-1/2*E(20)^9-1/2*E(20)^12-1/2*E(20)^13+1/2*E(20)^17	2.347858762962574	-0.52573111211913359	2	0	true	10	D10	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
5	{3,5,5/2}	5	2	1	-1/2*E(20)-1/2*E(20)^8+1/2*E(20)^9-1/2*E(20)^12+1/2*E(20)^13-1/2*E(20)^17	-0.72982477421267933	0.52573111211913359	2	0	true	10	D10	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
5	{3,5,5/2}	5	3	1	0	0.	1.	3	1	true	60	A5	true	7200	true	false	2	[ 120, 1200, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
5	{3,5,5/2}	5	3	1	-1/2	-0.5	0.61803398874989468	3	1	true	60	A5	true	7200	true	false	2	[ 120, 1200, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
5	{3,5,5/2}	5	3	1	-1	-1.	0.44721359549995798	3	1	true	60	A5	true	7200	true	false	2	[ 120, 1200, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
5	{3,5,5/2}	5	3	1	1/2*E(5)+3/2*E(5)^2+3/2*E(5)^3+1/2*E(5)^4	-2.1180339887498945	0.27639320225002123	3	1	true	60	A5	true	7200	true	false	2	[ 120, 1200, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
