case_a	case_b	fvector	lambda	even_passes	odd_passes	even_det_sign	odd_det_sign	triple_orientation_of_passing_candidate	exhaustive_tuples	exhaustive_similarities	exhaustive_det_signs	verdict	even_image_orbit	odd_image_orbit	similarity_cosets	order_Gamma_b
L3-{5,3,5/2}-8	L3-{5,3,5/2}-6	(48,144,48,8)	2*E(40)^7-4*E(40)^8-2*E(40)^13-9*E(40)^16-6*E(40)^21+2*E(40)^23-9*E(40)^24-6*E(40)^29+6*E(40)^31-4*E(40)^32-2*E(40)^37+6*E(40)^39	false	false	+1	+1	none	2304	0	{}	R5-similar=no;R3-congruent=no	none	none	0	1152
L3-{5,3,5/2}-8	L3-{5,3,5/2}-7	(48,144,48,8)	-4/3*E(40)^7-13/3*E(40)^8+4/3*E(40)^13-13/3*E(40)^16-4/3*E(40)^21-4/3*E(40)^23-13/3*E(40)^24-4/3*E(40)^29+4/3*E(40)^31-13/3*E(40)^32+4/3*E(40)^37+4/3*E(40)^39	false	false	+1	+1	none	2304	0	{}	R5-similar=no;R3-congruent=no	none	none	0	1152
L3-{5,3,5/2}-8	L3-{5,3,5/2}-8	(48,144,48,8)	1	true	true	+1	+1	even:same;odd:same	2304	1152	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	1152
L3-{5,3,5/2}-9	L3-{5,3,5/2}-9	(120,720,300,50)	1	true	true	+1	+1	even:same;odd:same	14400	7200	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	7200
L3-{5,3,5/2}-9	L3-{5,3,5/2}-10	(120,720,300,50)	3	false	false	+1	+1	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-9	L3-{5,3,5/2}-11	(120,720,300,50)	2	false	false	+1	+1	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-9	L3-{5,3,5/2}-12	(120,720,300,50)	6/5	true	true	+1	+1	even:mirror;odd:mirror	14400	7200	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	7200
L3-{5,3,5/2}-9	L3-{5,3,5/2}-13	(120,720,300,50)	3/4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-9	L3-{5,3,5/2}-14	(120,720,300,50)	-4*E(5)-2*E(5)^2-2*E(5)^3-4*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-9	L3-{5,3,5/2}-15	(120,720,300,50)	-12*E(5)-30*E(5)^2-30*E(5)^3-12*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-9	L3-{5,3,5/2}-16	(120,720,300,50)	4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-10	L3-{5,3,5/2}-9	(120,720,300,50)	1/3	false	false	+1	+1	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-10	L3-{5,3,5/2}-10	(120,720,300,50)	1	true	true	+1	+1	even:same;odd:same	14400	7200	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	7200
